Comuna,Región,Latitud (Decimal),Longitud (decimal)
Temuco, La Araucanía,-38.7269,-72.5989
Carahue, La Araucanía,-38.7069,-73.16
Cunco, La Araucanía,-38.93,-72.0269
Curarrehue, La Araucanía,-39.3589,-71.5878
Freire, La Araucanía,-38.9539,-72.6219
Galvarino, La Araucanía,-38.4,-72.7833
Gorbea, La Araucanía,-39.0950,-72.6719
Lautaro, La Araucanía,-38.5289,-72.4269
Loncoche, La Araucanía,-39.3539,-72.6278
Melipeuco, La Araucanía,-38.8428,-71.6869
Nueva Imperial, La Araucanía,-38.7450,-72.95
Padre Las Casas, La Araucanía,-38.7658,-72.5928
Perquenco, La Araucanía,-38.4169,-72.3828
Pitrufquén, La Araucanía,-38.9828,-72.6428
Pucón, La Araucanía,-39.2819,-71.9539
Saavedra, La Araucanía,-38.7828,-73.4
Teodoro Schmidt, La Araucanía,-38.9667,-73.05
Toltén, La Araucanía,-39.2169,-73.2169
Vilcún, La Araucanía,-39.1167,-72.3794
Villarrica, La Araucanía,-39.28,-72.2178
Cholchol, La Araucanía,-38.6,-72.85
Angol, La Araucanía,-37.8028,-72.7019
Collipulli, La Araucanía,-37.9528,-72.4319
Curacautín, La Araucanía,-38.4319,-71.89
Ercilla, La Araucanía,-38.05,-72.3833
Lonquimay, La Araucanía,-38.4328,-71.2328
Los Sauces, La Araucanía,-37.9669,-72.8328
Lumaco, La Araucanía,-38.1628,-72.9039
Purén, La Araucanía,-38.0219,-73.07
Renaico, La Araucanía,-37.6669,-72.5828
Traiguén, La Araucanía,-38.2478,-72.6750
Victoria, La Araucanía,-38.23,-72.3428
Malalcahuello, La Araucanía,-38.45,-71.5833
Puerto Montt, Los Lagos,-41.4539,-72.9928
Calbuco, Los Lagos,-41.7578,-73.1508
Cochamó, Los Lagos,-41.5,-72.3169
Fresia, Los Lagos,-41.1528,-73.42
Frutillar, Los Lagos,-41.1167,-73.1
Los Muermos, Los Lagos,-41.3908,-73.4650
Llanquihue, Los Lagos,-41.2658,-73.0119
Maullín, Los Lagos,-41.6178,-73.5978
Puerto Varas, Los Lagos,-41.3228,-72.97
Castro, Los Lagos,-42.4778,-73.7789
Ancud, Los Lagos,-41.8769,-73.8139
Chonchi, Los Lagos,-42.6258,-73.7808
Curaco de Vélez, Los Lagos,-42.4339,-73.5819
Dalcahue, Los Lagos,-42.3739,-73.6508
Puqueldón, Los Lagos,-42.6039,-73.6839
Queilén, Los Lagos,-42.8739,-73.47
Quellón, Los Lagos,-43.1208,-73.6078
Quemchi, Los Lagos,-42.1419,-73.4778
Quinchao, Los Lagos,-42.4789,-73.4969
Osorno, Los Lagos,-40.5739,-73.1258
Puerto Octay, Los Lagos,-40.9669,-72.9
Purranque, Los Lagos,-40.9089,-73.1750
Puyehue, Los Lagos,-40.7169,-72.3208
Río Negro, Los Lagos,-41.9669,-72.45
San Juan de la Costa, Los Lagos,-40.5008,-73.3919
San Pablo, Los Lagos,-40.4,-73.0167
Chaitén, Los Lagos,-42.8989,-72.6669
Futaleufú, Los Lagos,-43.1678,-71.8478
Hualaihué, Los Lagos,-41.9919,-72.6669
Palena, Los Lagos,-43.6228,-71.8039
Coyhaique, Aysén del Gral. C. Ibáñez del Campo,-45.5639,-72.0650
Lago Verde, Aysén del Gral. C. Ibáñez del Campo,-44.2189,-71.8389
Aysén, Aysén del Gral. C. Ibáñez del Campo,-45.4119,-72.6978
Cisnes, Aysén del Gral. C. Ibáñez del Campo,-44.7508,-72.6969
Guaitecas, Aysén del Gral. C. Ibáñez del Campo,-43.8839,-73.95
Cochrane, Aysén del Gral. C. Ibáñez del Campo,-47.2539,-72.5733
O' Higgins, Aysén del Gral. C. Ibáñez del Campo,-48.4667,-72.5667
Tortel, Aysén del Gral. C. Ibáñez del Campo,-47.7808,-73.5119
Chile Chico, Aysén del Gral. C. Ibáñez del Campo,-46.5375,-71.7292
Río Ibáñez, Aysén del Gral. C. Ibáñez del Campo,-46.2550,-71.95
Valdivia, Los Ríos,-39.8142,-73.2458
Corral, Los Ríos,-39.8669,-73.4328
Lanco, Los Ríos,-39.4469,-72.7719
Los Lagos, Los Ríos,-41.92,-72.1419
Máfil, Los Ríos,-39.65,-72.95
Mariquina, Los Ríos,-40.1328,-72.3328
Paillaco, Los Ríos,-40.0678,-72.8828
Panguipulli, Los Ríos,-39.6419,-72.34
La Unión, Los Ríos,-40.2919,-73.0878
Futrono, Los Ríos,-40.1308,-72.3958
Lago Ranco, Los Ríos,-40.3169,-72.5
Río Bueno, Los Ríos,-40.3378,-72.9569
